name,student_id,level,mathematics,english,chemistry,physics,biology,economics,"agric science",government,total_score,average_score,grade
Arogunmasa Abayomi,SS0001,SS1,90,89,2,92,90,96,94,99,652,81.5,A
Olanrewaju Ifeola,SS0002,SS1,90,89,92,90,96,100,97,88,742,92.75,A
Adegboyega Aisha,SS0003,SS3,90,89,98,89,82,97,93,100,738,92.25,A
A b,SS0008,SS1,20,0,1,12,24,21,23,21,122,15.25,F
arogunmasa abayomi,SS0007,SS1,90,100,98,97,95,91,93,92,756,94.5,A
arogunmasa abayomi,SS0109,SS3,90,90,90,90,90,90,90,90,720,90.0,A
arogunmasa abayomi,SS0121,SS2,100,100,100,100,100,100,100,100,800,100.0,A
arogunmasa abayomi,SS1091,SS3,100,100,100,100,100,100,100,100,800,100.0,A
ife ife,SS0191,SS3,90,80,80,90,90,90,90,90,700,87.5,A
a b,SS0192,SS3,90,90,90,90,90,90,90,90,720,90.0,A
a n,SS2012,SS3,100,90,90,90,90,90,90,90,730,91.25,A
arogunmasa abayomi,SS0111,SS3,90,90,90,90,90,90,90,90,720,90.0,A
